,RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
171,171," Farmer, B",DET,P,2,4,0,1,0,0,0,0,0,3,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,0,0,-.--,17,4
172,171," Figueroa, C",NYY,3B,2,8,2,2,2,0,0,0,0,0,0,0,.250,.250,.500,.750,0,0,0,0,4,2,0,3,3,1.00,25,8
173,171," Goins, R",TOR,2B,128,376,52,94,16,4,5,45,39,83,2,1,.250,.318,.354,.672,0,1,7,5,133,25,12,147,78,1.88,1614,428
174,171," Guthrie, J",KC,P,2,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,0,1,0,1,0,0,3,1,3.00,14,5
175,171," Hague, M",TOR,1B,10,12,1,3,1,0,0,0,2,4,0,0,.250,.400,.333,.733,1,1,0,0,4,1,0,2,3,0.67,62,15
176,171," Jimenez, U",BAL,P,4,8,0,2,0,0,0,2,0,4,0,0,.250,.250,.250,.500,0,0,0,0,2,0,0,2,0,*.**,26,8
177,171," Karns, N",TB,P,2,4,1,1,0,0,1,1,0,3,0,0,.250,.250,1.000,1.250,0,0,1,0,4,1,0,1,0,*.**,18,5
178,171," Kazmir, S",HOU,P,2,4,1,1,0,0,0,1,0,2,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,1,0,*.**,15,4
179,171," Moore, A",CLE,C,1,4,0,1,0,0,0,1,0,2,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,0,1,0.00,15,4
180,171," Perez, C",LAA,C,86,260,20,65,13,0,4,21,19,49,2,0,.250,.299,.346,.645,0,0,2,2,90,17,7,74,83,0.89,1076,283
181,171," Presley, A",HOU,LF,8,12,1,3,0,0,0,1,1,5,0,0,.250,.308,.250,.558,0,0,0,0,3,0,0,3,1,3.00,57,13
182,171," Robinson, S",MIN,LF,83,180,28,45,7,3,0,16,12,29,6,1,.250,.299,.322,.621,0,1,3,1,58,10,4,68,46,1.48,730,197
183,184," Ramirez, H",BOS,1B,105,401,59,100,12,1,19,53,21,71,6,3,.249,.291,.426,.717,2,4,0,4,171,32,11,142,103,1.38,1588,430
184,185," Orlando, P",KC,RF,86,241,31,60,14,6,7,27,5,53,3,3,.249,.269,.444,.713,0,2,2,1,107,27,0,63,68,0.93,896,251
185,186," Phegley, J",OAK,C,73,225,27,56,16,1,9,34,14,51,0,0,.249,.300,.449,.749,0,3,0,1,101,26,5,54,70,0.77,870,243
186,187," Bradley Jr., J",BOS,CF,74,221,43,55,17,4,10,43,27,69,3,0,.249,.335,.498,.832,0,3,1,3,110,31,5,63,43,1.47,1067,255
187,188," Ramirez, A",CWS,SS,154,583,54,145,33,0,10,62,31,68,17,7,.249,.285,.357,.642,2,1,1,6,208,43,18,230,165,1.39,2185,622
188,189," Smith, S",SEA,RF,136,395,54,98,31,5,12,42,47,99,0,0,.248,.330,.443,.773,4,4,1,5,175,48,15,116,103,1.13,1905,452
189,190," Sogard, E",OAK,2B,120,372,40,92,12,3,1,37,23,50,6,1,.247,.294,.304,.598,1,2,3,1,113,16,9,126,117,1.08,1459,401
190,191," Hanigan, R",BOS,C,54,174,28,43,8,0,2,16,20,39,0,0,.247,.337,.328,.664,0,4,1,1,57,10,6,65,35,1.86,847,201
191,192," Reimold, N",BAL,LF,61,170,24,42,5,1,6,20,23,47,0,0,.247,.344,.394,.738,2,2,0,0,67,12,2,46,37,1.24,800,195
192,193," Chisenhall, L",CLE,RF,106,333,38,82,19,1,7,44,23,69,4,1,.246,.294,.372,.667,3,1,2,3,124,27,0,84,103,0.82,1315,362
193,194," Bourn, M",CLE,CF,95,289,29,71,12,1,0,19,29,76,13,5,.246,.313,.294,.608,0,0,7,1,85,13,2,89,63,1.41,1282,326
194,195," Navarro, D",TOR,C,54,171,17,42,7,0,5,20,17,29,0,0,.246,.307,.374,.682,1,0,0,4,64,12,0,46,58,0.79,746,192
195,196," Gattis, E",HOU,C,153,566,66,139,20,11,27,88,30,119,0,1,.246,.285,.463,.748,3,3,0,5,262,58,13,178,148,1.20,2102,604
196,197," Martinez, V",DET,DH,120,440,39,108,20,0,11,64,31,52,0,0,.245,.301,.366,.667,8,7,0,7,161,31,18,148,157,0.94,1909,485
197,198," Sandoval, P",BOS,3B,126,470,43,115,25,1,10,47,25,73,0,0,.245,.292,.366,.658,1,7,1,2,172,36,14,174,125,1.39,1848,505
198,199," Plouffe, T",MIN,3B,152,573,74,140,35,4,22,86,50,124,2,1,.244,.307,.435,.742,0,4,1,4,249,61,28,178,164,1.09,2403,632
199,200," Pujols, A",LAA,DH,157,602,85,147,22,0,40,95,50,72,5,3,.244,.307,.480,.787,10,6,0,3,289,62,15,199,202,0.99,2514,661
200,201," Tucker, P",HOU,LF,98,300,35,73,19,0,13,33,20,68,0,2,.243,.297,.437,.734,0,3,0,0,131,32,3,86,76,1.13,1278,323
201,202," Gomez, C",HOU,CF,41,149,19,36,9,0,4,13,8,31,10,3,.242,.288,.383,.670,1,2,3,1,57,13,1,40,47,0.85,596,163
202,203," Alvarez, D",BAL,RF,12,29,3,7,1,0,1,1,2,8,0,0,.241,.290,.379,.670,0,0,0,0,11,2,0,6,8,0.75,98,31
203,204," Martin, R",TOR,C,129,441,76,106,23,2,23,77,53,106,4,5,.240,.329,.458,.787,1,8,0,5,202,48,22,159,97,1.64,2112,507
204,205," Suzuki, K",MIN,C,131,433,36,104,17,0,5,50,29,59,0,0,.240,.296,.314,.610,4,7,6,4,136,22,14,139,155,0.90,1749,479
205,206," Vargas, K",MIN,1B,58,175,18,42,4,0,5,17,9,54,0,0,.240,.277,.349,.626,0,0,0,0,61,9,7,58,28,2.07,723,184
206,207," Hunter, T",MIN,RF,139,521,67,125,22,0,22,81,35,105,2,5,.240,.293,.409,.702,1,6,0,5,213,44,14,174,136,1.28,2087,567
207,208," Tulowitzki, T",TOR,SS,41,163,31,39,8,0,5,17,14,42,1,0,.239,.317,.380,.697,1,5,0,1,62,13,4,47,40,1.18,717,183
208,209," Flowers, T",CWS,C,112,331,21,79,12,0,9,39,21,104,0,1,.239,.295,.356,.652,0,6,2,1,118,21,8,86,73,1.18,1413,361
209,210," Rasmus, C",HOU,LF,137,432,67,103,23,2,25,61,47,154,2,1,.238,.314,.475,.789,0,2,1,3,205,50,6,79,106,0.75,2011,485
210,211," Casali, C",TB,C,38,101,13,24,6,0,10,18,8,34,0,0,.238,.304,.594,.898,0,2,1,1,60,16,2,26,21,1.24,441,113
211,212," Snider, T",BAL,LF,69,211,23,50,9,2,3,20,23,56,1,0,.237,.318,.341,.659,1,2,0,0,72,14,3,58,50,1.16,962,236
212,213," Parra, G",BAL,LF,55,224,30,53,12,0,5,20,8,35,5,1,.237,.268,.357,.625,1,2,3,1,80,17,1,75,66,1.14,846,238
213,214," Marisnick, J",HOU,CF,133,339,46,80,15,4,9,36,18,105,24,9,.236,.281,.383,.665,0,5,6,4,130,28,2,82,84,0.98,1449,372
214,215," Sands, J",CLE,RF,50,123,11,29,5,1,4,19,9,36,0,0,.236,.286,.390,.676,0,0,0,1,48,10,0,28,31,0.90,535,133
215,216," Dozier, B",MIN,2B,157,628,101,148,39,4,28,77,61,148,12,4,.236,.307,.444,.751,2,7,0,8,279,71,10,144,206,0.70,2833,704
216,217," Ladendorf, T",OAK,2B,9,17,3,4,0,1,0,2,1,2,0,0,.235,.278,.353,.631,0,0,0,0,6,1,0,5,6,0.83,64,18
217,217," Machado, D",DET,SS,24,68,6,16,3,0,0,5,7,14,1,0,.235,.307,.279,.586,0,0,3,0,19,3,3,30,14,2.14,287,78
218,219," Joseph, C",BAL,C,100,320,38,75,16,1,11,49,27,72,0,0,.234,.299,.394,.693,2,3,3,1,126,28,7,80,104,0.77,1364,355
219,220," DeJesus, D",LAA,LF,112,288,27,67,9,2,5,30,21,52,3,2,.233,.297,.330,.626,1,6,0,2,95,16,5,86,90,0.96,1195,317
220,221," McCann, B",NYY,C,135,465,68,108,15,1,26,94,52,97,0,0,.232,.320,.437,.756,3,11,0,7,203,42,7,124,150,0.83,2094,535
221,222," Chirinos, R",TEX,C,78,233,33,54,16,1,10,34,28,62,0,0,.232,.325,.438,.762,0,5,5,2,102,27,4,55,73,0.75,1104,273
222,223," Gomes, Y",CLE,C,95,363,38,84,22,0,12,45,13,104,0,0,.231,.267,.391,.659,1,7,0,6,142,34,11,85,107,0.79,1471,389
223,224," Ackley, D",NYY,RF,108,238,28,55,11,3,10,30,18,45,2,2,.231,.284,.429,.712,0,1,3,4,102,24,3,81,67,1.21,1073,264
224,225," Aviles, M",CLE,SS,98,290,37,67,10,0,5,17,20,38,3,1,.231,.282,.317,.599,0,1,5,1,92,15,18,117,92,1.27,1196,317
225,226," Santana, C",CLE,1B,154,550,72,127,29,2,19,85,108,122,11,3,.231,.357,.395,.752,8,3,0,5,217,50,20,177,149,1.19,2863,666
226,227," Victorino, S",LAA,LF,71,178,19,41,4,2,1,7,16,32,7,0,.230,.308,.292,.601,1,5,3,2,52,7,4,47,67,0.70,774,204
227,228," Johnson, M",CWS,2B,36,100,10,23,4,0,0,4,9,30,3,2,.230,.306,.270,.576,0,2,2,0,27,4,0,32,17,1.88,472,114
228,229," Pirela, J",NYY,2B,37,74,7,17,3,0,1,5,2,16,1,0,.230,.247,.311,.558,0,0,1,1,23,4,4,31,16,1.94,276,78
229,230," Ryan, B",NYY,3B,47,96,10,22,6,2,0,8,5,29,0,0,.229,.275,.333,.608,0,1,1,0,32,8,1,22,25,0.88,382,103
230,231," Davis, I",OAK,1B,72,214,19,49,17,0,3,20,23,44,0,0,.229,.301,.350,.652,0,0,0,2,75,20,5,81,47,1.72,933,239
231,232," Conger, H",HOU,C,73,201,25,46,11,0,11,33,23,63,0,1,.229,.311,.448,.759,0,2,1,2,90,22,6,48,53,0.91,930,229
232,233," Perez, R",CLE,C,70,184,30,42,9,1,7,21,33,64,0,0,.228,.348,.402,.751,1,2,5,2,74,17,9,65,29,2.24,969,226
233,234," Rosales, A",TEX,2B,53,114,14,26,4,0,3,7,10,30,4,4,.228,.296,.342,.638,0,1,0,0,39,7,4,33,29,1.14,508,125
234,235," Gillaspie, C",LAA,3B,75,237,14,54,15,2,4,24,13,47,0,1,.228,.269,.359,.627,2,1,0,2,85,21,2,78,62,1.26,866,253
235,236," Fryer, E",MIN,C,15,22,2,5,2,0,0,2,5,11,0,0,.227,.370,.318,.689,0,0,0,0,7,2,0,3,3,1.00,119,27
236,237," Marrero, D",BOS,SS,25,53,8,12,0,0,1,3,3,19,2,1,.226,.268,.283,.551,0,0,0,0,15,1,0,12,10,1.20,216,56
237,238," Smoak, J",TOR,1B,132,296,44,67,16,1,18,59,29,86,0,0,.226,.299,.470,.768,0,2,0,1,139,35,10,95,59,1.61,1262,328
238,239," Morrison, L",SEA,1B,146,457,47,103,15,3,17,54,47,81,8,4,.225,.302,.383,.685,5,4,1,2,175,35,7,145,138,1.05,1940,511
239,240," Souza Jr., S",TB,RF,110,373,59,84,15,1,16,40,46,144,12,6,.225,.318,.399,.717,0,5,1,1,149,32,7,78,76,1.03,1717,426
240,241," Urshela, G",CLE,3B,81,267,25,60,8,1,6,21,18,58,0,1,.225,.279,.330,.608,0,2,1,0,88,15,9,82,77,1.06,1077,288
241,242," Saladino, T",CWS,SS,68,236,33,53,6,4,4,20,12,51,8,2,.225,.267,.335,.602,0,2,3,1,79,14,9,91,54,1.69,932,254
242,243," Sanchez, Y",CWS,2B,120,389,40,87,23,1,5,31,19,81,2,2,.224,.268,.326,.595,0,5,6,1,127,29,9,149,88,1.69,1615,420
243,244," Napoli, M",TEX,1B,133,407,46,91,20,1,18,50,57,118,3,3,.224,.324,.410,.734,3,4,0,1,167,39,11,106,104,1.02,2038,469
244,245," Valbuena, L",HOU,3B,132,434,62,97,18,0,25,56,50,106,1,0,.224,.310,.438,.748,1,6,0,3,190,43,13,106,141,0.75,2056,493
245,246," Pompey, D",TOR,CF,34,94,17,21,8,0,2,6,7,23,5,1,.223,.291,.372,.664,0,2,0,0,35,10,1,23,28,0.82,376,103
246,247," Montero, J",SEA,1B,38,112,11,25,6,0,5,19,4,32,0,0,.223,.250,.411,.661,0,0,0,0,46,11,2,30,27,1.11,384,116
247,248," Alberto, H",TEX,SS,41,99,12,22,2,1,0,4,2,17,1,0,.222,.238,.263,.500,0,0,3,0,26,3,2,36,29,1.24,345,104
248,249," Lowrie, J",HOU,3B,69,230,35,51,14,0,9,30,28,43,1,0,.222,.312,.400,.712,5,3,0,2,92,23,3,61,80,0.76,1086,263
249,250," Beckham, T",TB,2B,82,203,24,45,7,4,9,37,13,69,3,1,.222,.274,.429,.702,0,3,0,4,87,20,3,59,37,1.59,899,223
250,251," Infante, O",KC,2B,124,440,39,97,23,7,2,44,9,69,2,2,.220,.234,.318,.552,0,0,2,4,140,32,8,139,149,0.93,1557,455
251,252," Soto, G",CWS,C,78,187,20,41,8,0,9,21,21,63,0,1,.219,.301,.406,.708,0,1,1,0,76,17,2,41,45,0.91,875,210
252,253," Ramirez, J",CLE,3B,97,315,50,69,14,3,6,27,32,39,10,4,.219,.291,.340,.631,0,1,5,2,107,23,5,116,103,1.13,1416,355
253,254," Hardy, J",BAL,SS,114,411,45,90,14,0,8,37,20,88,0,0,.219,.253,.311,.564,0,0,2,4,128,22,11,143,107,1.34,1789,437
254,255," Flores, R",SEA,LF,12,32,3,7,1,0,0,0,0,4,0,0,.219,.219,.250,.469,0,0,1,0,8,1,0,11,11,1.00,114,33
255,255," Martin, L",TEX,CF,95,288,26,63,12,0,5,25,16,69,14,5,.219,.264,.313,.576,1,2,3,1,90,17,5,98,67,1.46,1112,310
256,257," Pearce, S",BAL,1B,92,294,42,64,13,1,15,40,23,69,1,1,.218,.289,.422,.711,1,7,0,1,124,29,11,75,98,0.77,1216,325
257,258," Cuthbert, C",KC,3B,19,46,6,10,2,1,1,8,4,9,0,0,.217,.280,.370,.650,0,0,0,0,17,4,0,13,14,0.93,177,50
258,258," Schafer, J",MIN,CF,27,69,9,15,3,0,0,5,3,23,0,3,.217,.250,.261,.511,0,0,2,0,18,3,0,22,11,2.00,299,74
259,260," Moss, B",CLE,RF,94,337,36,73,17,1,15,50,32,106,0,0,.217,.288,.407,.695,2,3,0,3,137,33,9,67,103,0.65,1464,375
260,261," Parmelee, C",BAL,1B,32,97,11,21,7,1,4,9,4,26,0,1,.216,.255,.433,.688,0,1,0,0,42,12,1,14,37,0.38,417,102
261,262," Jones, G",NYY,RF,57,144,12,31,4,1,5,17,8,37,0,0,.215,.257,.361,.618,0,0,0,0,52,10,1,41,36,1.14,583,152
262,263," Santana, D",MIN,CF,91,261,30,56,10,5,0,21,6,68,8,4,.215,.241,.291,.532,1,3,7,0,76,15,7,98,53,1.85,940,277
263,264," Garcia, L",CWS,2B,17,14,0,3,0,0,0,1,1,7,1,0,.214,.267,.214,.481,0,0,0,0,3,0,0,4,0,*.**,62,15
264,264," Kawasaki, M",TOR,2B,23,28,6,6,2,0,0,2,4,6,0,1,.214,.313,.286,.598,0,0,2,0,8,2,1,14,5,2.80,122,34
265,264," Ruggiano, J",SEA,RF,36,70,8,15,4,0,2,3,11,27,3,2,.214,.321,.357,.678,0,0,0,0,25,6,0,13,15,0.87,333,81
266,267," Marte, J",DET,1B,33,80,9,17,4,0,4,11,8,22,0,0,.213,.284,.413,.697,0,0,2,0,33,8,2,26,19,1.37,335,90
267,268," Castro, J",HOU,C,104,337,38,71,19,0,11,31,33,115,0,0,.211,.283,.365,.648,1,2,0,3,123,30,5,73,86,0.85,1476,375
268,269," Buxton, B",MIN,CF,46,129,16,27,7,1,2,6,6,44,2,2,.209,.250,.326,.576,0,1,2,0,42,10,1,27,34,0.79,513,138
269,270," Beckham, G",CWS,3B,100,211,24,44,8,0,6,20,19,43,0,1,.209,.275,.332,.607,1,2,1,4,70,14,6,72,63,1.14,938,237
270,271," Cabrera, E",BAL,SS,29,96,7,20,2,0,0,4,5,22,2,0,.208,.250,.229,.479,0,1,1,2,22,2,4,44,17,2.59,407,105
271,272," LaRoche, A",CWS,DH,127,429,41,89,21,0,12,44,49,133,0,0,.207,.293,.340,.634,0,4,0,2,146,33,10,117,102,1.15,1907,484
272,273," Muncy, M",OAK,1B,45,102,14,21,8,1,3,9,9,31,0,0,.206,.268,.392,.660,0,0,0,1,40,12,0,20,31,0.65,490,112
273,274," Elmore, J",TB,1B,51,141,10,29,5,0,2,16,12,25,1,1,.206,.263,.284,.547,1,0,2,3,40,7,6,51,47,1.09,597,158
274,275," Thole, J",TOR,C,18,49,5,10,2,0,0,2,3,9,0,0,.204,.250,.245,.495,0,0,0,0,12,2,2,18,14,1.29,194,52
275,276," Gallo, J",TEX,3B,36,108,16,22,3,1,6,14,15,57,3,0,.204,.301,.417,.717,3,0,0,0,45,10,0,12,17,0.71,504,123
276,277," Olt, M",CWS,3B,24,79,6,16,0,0,3,4,7,29,0,1,.203,.267,.316,.584,0,0,0,0,25,3,2,23,13,1.77,374,86
277,278," Flaherty, R",BAL,2B,91,267,34,54,8,3,9,31,26,81,0,0,.202,.281,.356,.637,2,4,2,2,95,20,8,83,61,1.36,1149,301
278,279," Lough, D",BAL,LF,84,134,14,27,1,1,4,12,5,36,2,4,.201,.241,.313,.555,0,2,3,0,42,6,0,36,38,0.95,501,144
279,280," Drew, S",NYY,2B,131,383,43,77,16,1,17,44,37,71,0,2,.201,.271,.381,.652,1,1,4,3,146,34,7,113,136,0.83,1661,428
280,281," Bernier, D",MIN,SS,4,5,1,1,1,0,0,2,1,3,0,0,.200,.333,.400,.733,0,0,0,0,2,1,0,0,1,0.00,28,6
281,281," Gibson, K",MIN,P,2,5,0,1,0,0,0,0,0,2,0,0,.200,.200,.200,.400,0,0,0,0,1,0,0,2,0,*.**,15,5
282,281," Kelly, J",BOS,P,2,5,0,1,0,0,0,1,0,2,0,0,.200,.200,.200,.400,0,0,0,0,1,0,0,2,0,*.**,16,5
283,281," Keuchel, D",HOU,P,2,5,0,1,0,0,0,0,0,4,0,0,.200,.200,.200,.400,0,0,1,0,1,0,0,1,0,*.**,19,6
284,281," Santiago, H",LAA,P,3,5,0,1,0,0,0,0,0,3,0,0,.200,.200,.200,.400,0,0,0,0,1,0,1,2,0,*.**,17,5
285,281," Strausborger, R",TEX,LF,31,45,9,9,0,0,1,3,3,11,2,1,.200,.240,.267,.507,0,0,1,2,12,1,1,16,13,1.23,194,51
286,287," Carter, C",HOU,1B,129,391,50,78,17,0,24,64,57,151,1,2,.199,.307,.427,.734,1,6,0,5,167,41,5,63,109,0.58,1963,460
287,288," Swisher, N",CLE,DH,30,101,6,20,4,0,2,8,8,24,0,0,.198,.261,.297,.558,1,1,0,1,30,6,2,34,26,1.31,455,111
288,289," Fuld, S",OAK,LF,120,290,34,57,16,3,2,22,30,55,9,3,.197,.276,.293,.569,1,2,2,1,85,21,6,126,61,2.07,1325,325
289,290," Butera, D",KC,C,55,107,9,21,3,0,1,5,6,26,0,1,.196,.252,.252,.505,0,2,5,0,27,4,0,24,41,0.59,402,120
290,291," Field, T",TEX,2B,14,41,6,8,1,0,2,5,2,16,1,0,.195,.250,.366,.616,0,1,1,0,15,3,0,12,6,2.00,196,45
291,292," Kubitza, K",LAA,3B,19,36,6,7,0,0,0,1,3,15,0,0,.194,.256,.194,.451,0,0,0,0,7,0,2,9,7,1.29,166,39
292,293," Nava, D",TB,RF,60,139,13,27,4,0,1,10,20,36,1,0,.194,.315,.245,.560,0,5,1,1,34,5,4,43,39,1.10,667,166
293,294," Saunders, M",TOR,RF,9,31,2,6,0,0,0,3,5,10,0,0,.194,.306,.194,.499,0,0,0,0,6,0,1,13,3,4.33,159,36
294,295," Rua, R",TEX,LF,28,83,10,16,5,0,4,7,3,32,0,0,.193,.221,.398,.619,0,0,0,0,33,9,2,22,15,1.47,341,86
295,295," Smolinski, J",OAK,LF,76,166,24,32,7,2,6,26,19,39,1,1,.193,.281,.367,.649,0,3,0,4,61,15,3,49,53,0.92,756,192
296,297," Singleton, J",HOU,1B,19,47,6,9,2,0,1,6,10,17,1,0,.191,.328,.298,.625,0,0,0,1,14,3,0,5,17,0.29,251,58
297,298," Avila, A",DET,C,67,178,21,34,5,0,4,13,40,66,0,1,.191,.339,.287,.626,0,0,1,0,51,9,4,44,39,1.13,980,219
298,299," Green, G",LAA,2B,21,42,6,8,0,0,1,3,2,14,0,1,.190,.227,.262,.489,1,0,0,0,11,1,2,16,6,2.67,159,44
299,299," Romero, S",SEA,RF,13,21,6,4,1,0,1,3,3,6,0,0,.190,.292,.381,.673,0,0,0,0,8,2,0,4,7,0.57,113,24
300,301," Wilson, B",TEX,C,56,132,8,25,5,0,1,14,11,39,0,1,.189,.255,.250,.505,0,1,2,1,33,6,1,43,29,1.48,570,147
301,302," Shaffer, R",TB,3B,31,74,11,14,3,0,4,6,10,32,0,1,.189,.307,.392,.699,0,3,0,1,29,7,2,15,16,0.94,364,88
302,303," Cowgill, C",LAA,LF,55,69,10,13,2,1,1,2,4,19,2,1,.188,.233,.290,.523,0,0,1,0,20,4,1,21,18,1.17,254,74
303,304," Iannetta, C",LAA,C,92,272,28,51,10,0,10,34,41,83,0,1,.188,.293,.335,.628,1,1,0,3,91,20,11,69,83,0.83,1313,317
304,305," Peguero, C",BOS,LF,34,75,11,14,4,0,4,9,13,37,2,0,.187,.311,.400,.711,0,1,0,1,30,8,1,11,15,0.73,371,90
305,306," Leon, S",BOS,C,41,114,8,21,2,0,0,3,7,28,0,1,.184,.238,.202,.439,1,1,6,0,23,2,4,42,33,1.27,502,128
306,307," Moya, S",DET,RF,9,22,1,4,0,1,0,0,3,10,0,0,.182,.280,.273,.553,0,0,0,0,6,1,0,2,6,0.33,98,25
307,307," Telis, T",TEX,C,6,11,1,2,0,0,0,2,0,1,0,0,.182,.250,.182,.432,0,1,0,0,2,0,0,6,2,3.00,39,12
308,307," Venable, W",TEX,CF,37,66,6,12,3,0,0,3,12,21,5,0,.182,.325,.227,.552,2,2,2,0,15,3,0,27,8,3.38,360,82
309,310," Rivera, R",TB,C,110,298,16,53,14,0,5,26,11,86,0,0,.178,.213,.275,.489,0,3,5,2,82,19,4,80,90,0.89,1175,319
310,311," Corporan, C",TEX,C,33,107,10,19,4,0,3,15,6,40,0,0,.178,.244,.299,.543,0,4,2,2,32,7,1,25,28,0.89,470,121
311,312," Crisp, C",OAK,LF,44,126,11,22,6,0,0,6,13,25,2,0,.175,.252,.222,.474,0,0,0,0,28,6,2,36,45,0.80,533,139
312,313," Zunino, M",SEA,C,112,350,28,61,11,0,11,28,21,132,0,1,.174,.230,.300,.530,0,5,8,2,105,22,6,74,99,0.75,1582,386
313,314," Joyce, M",LAA,LF,93,247,17,43,12,1,5,21,30,67,0,3,.174,.272,.291,.564,1,4,1,2,72,18,5,68,77,0.88,1074,284
314,315," Cowart, K",LAA,3B,34,46,8,8,2,0,1,4,5,19,1,1,.174,.255,.283,.538,0,0,1,0,13,3,1,15,6,2.50,209,52
315,316," Maile, L",TB,C,15,35,2,6,3,0,0,2,0,8,0,0,.171,.171,.257,.429,0,0,0,0,9,3,3,13,11,1.18,127,35
316,317," Taylor, C",SEA,SS,37,94,9,16,3,1,0,1,6,31,3,2,.170,.220,.223,.443,0,0,2,0,21,4,0,19,30,0.63,375,102
317,318," Bauer, T",CLE,P,3,6,0,1,0,0,0,0,1,1,0,0,.167,.286,.167,.452,0,0,0,0,1,0,0,3,1,3.00,30,7
318,318," Bonifacio, E",CWS,2B,47,78,5,13,2,0,0,4,2,27,1,4,.167,.198,.192,.390,0,1,1,0,15,2,1,26,14,1.86,310,82
319,318," Gomes, J",KC,LF,12,30,2,5,2,0,0,4,3,14,0,0,.167,.235,.233,.469,0,0,0,1,7,2,1,5,8,0.63,120,34
320,318," Gray, S",OAK,P,2,6,0,1,0,0,0,0,0,4,0,0,.167,.167,.167,.333,0,0,0,0,1,0,0,1,0,*.**,19,6
321,318," Petit, G",NYY,2B,20,42,7,7,3,0,0,5,3,16,0,0,.167,.217,.238,.455,1,0,1,1,10,3,0,15,6,2.50,179,47
322,318," Weeks Jr., R",SEA,LF,37,84,7,14,1,0,2,9,9,25,0,0,.167,.263,.250,.513,0,2,0,0,21,3,3,27,21,1.29,393,95
323,324," Featherston, T",LAA,3B,101,154,23,25,5,1,2,9,7,46,4,2,.162,.212,.247,.459,0,3,4,1,38,8,3,54,37,1.46,636,169
324,325," Castillo, W",SEA,C,6,25,3,4,0,0,0,2,1,5,0,0,.160,.179,.160,.339,0,0,0,2,4,0,2,10,10,1.00,96,28
325,325," Pennington, C",TOR,SS,33,75,9,12,3,0,2,11,11,20,0,0,.160,.270,.280,.550,0,1,3,2,21,5,2,28,22,1.27,394,92
326,327," Bloomquist, W",SEA,SS,35,69,2,11,1,0,0,4,2,13,1,1,.159,.194,.174,.368,0,1,0,0,12,1,2,24,23,1.04,240,72
327,328," Franklin, N",TB,SS,44,101,11,16,4,1,3,7,7,37,1,0,.158,.213,.307,.520,0,0,1,0,31,8,2,19,32,0.59,432,109
328,329," Sucre, J",SEA,C,50,127,9,20,6,0,1,7,6,21,0,0,.157,.195,.228,.424,0,0,9,0,29,7,6,58,43,1.35,525,142
329,330," Hayes, B",CLE,C,14,32,4,5,0,0,3,6,3,7,0,0,.156,.229,.438,.666,0,0,1,0,14,3,0,7,14,0.50,138,36
330,331," Diaz, J",TOR,SS,7,13,1,2,0,0,0,2,1,3,0,0,.154,.267,.154,.421,0,1,1,0,2,0,0,7,2,3.50,66,16
331,332," Craig, A",BOS,1B,36,79,6,12,1,0,1,3,7,26,0,0,.152,.239,.203,.441,0,2,0,0,16,2,2,27,16,1.69,365,88
332,333," Herrmann, C",MIN,C,45,103,13,15,5,1,2,10,7,37,0,0,.146,.214,.272,.486,0,2,1,0,28,8,1,30,23,1.30,435,113
333,334," Buehrle, M",TOR,P,4,7,0,1,0,0,0,0,1,3,0,0,.143,.250,.143,.393,0,0,1,0,1,0,0,4,0,*.**,37,9
334,334," Grossman, R",HOU,LF,24,49,7,7,2,0,1,5,5,17,0,0,.143,.222,.245,.467,0,0,0,0,12,3,0,15,10,1.50,216,54
335,334," Kepler, M",MIN,RF,3,7,0,1,0,0,0,0,0,3,0,0,.143,.143,.143,.286,0,0,0,0,1,0,0,2,1,2.00,37,7
336,334," Pena, F",KC,C,8,7,0,1,0,0,0,0,0,3,0,0,.143,.143,.143,.286,0,0,0,0,1,0,1,4,0,*.**,26,7
337,338," Krauss, M",DET,1B,27,78,3,11,3,0,2,8,3,31,0,0,.141,.173,.256,.429,0,0,0,0,20,5,0,11,25,0.44,333,81
338,339," Lake, J",BAL,RF,8,22,2,3,3,0,0,0,0,9,0,0,.136,.136,.273,.409,0,0,0,0,6,3,0,6,4,1.50,85,22
339,339," Nieuwenhuis, K",LAA,CF,10,22,4,3,2,0,0,1,2,9,0,1,.136,.208,.227,.436,0,0,0,0,5,2,0,7,3,2.33,95,24
340,341," Walters, Z",CLE,LF,12,30,0,4,0,0,0,3,0,15,0,0,.133,.133,.133,.267,0,0,0,0,4,0,0,5,6,0.83,118,30
341,342," Blair, C",OAK,C,11,31,3,4,0,0,1,3,4,18,0,0,.129,.229,.226,.454,0,0,0,0,7,1,1,6,4,1.50,155,35
342,342," Dykstra, A",TB,1B,13,31,3,4,0,0,1,4,6,12,0,0,.129,.289,.226,.515,0,1,0,0,7,1,2,11,6,1.83,155,38
343,344," McHugh, C",HOU,P,3,8,1,1,0,0,0,0,0,4,0,0,.125,.125,.125,.250,0,0,0,0,1,0,0,1,2,0.50,31,8
